timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1537179952040,119,HTTP Request,200,OK,Thread Group 1-1,text,false,Expected to find an object with property ['name'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,155,138,1,1,115,0,81
1537179952268,2,HTTP Request,200,OK,Thread Group 1-1,text,false,Expected to find an object with property ['name'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,155,138,1,1,2,0,0
1537179952409,6,HTTP Request,200,OK,Thread Group 1-2,text,false,Expected to find an object with property ['name'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,155,138,1,1,6,0,1
1537179952416,3,HTTP Request,200,OK,Thread Group 1-2,text,false,Expected to find an object with property ['name'] in path $ but found 'java.lang.String'. This is not a json object according to the JsonProvider: 'com.jayway.jsonpath.spi.json.JsonSmartJsonProvider'.,155,138,1,1,3,0,0
